Subject;trial_id;condition_id;object_number;duration;distance;hit_try;letter;input_letters;right_letters;levensthein_distance;buchstabe_1;buchstabe_2;buchstabe_3;buchstabe_4;buchstabe_5;buchstabe_6;buchstabe_7
6;6;3;4;3.432617;-162;2;B;;DCBB;;;;;;;;
6;6;3;5;1.577637;162;1;A;;DCBBA;;;;;;;;
6;6;3;6;1.555908;126;1;B;;DCBBAB;;;;;;;;
6;6;3;7;2.632568;126;2;A;DCBBABA;DCBBABA;0;1;1;1;1;1;1;1
6;7;3;1;3.338257;126;1;D;;D;;;;;;;;
6;7;3;2;4.444702;-180;2;C;;DC;;;;;;;;
6;7;3;3;1.410645;162;1;B;;DCB;;;;;;;;
6;7;3;4;1.699585;-162;1;C;;DCBC;;;;;;;;
6;7;3;5;1.899414;-108;1;A;;DCBCA;;;;;;;;
6;7;3;6;1.23291;-90;1;B;;DCBCAB;;;;;;;;
6;7;3;7;2.723145;144;2;D;DCBCABD;DCBCABD;0;1;1;1;1;1;1;1
6;8;3;1;1.221558;90;1;D;;D;;;;;;;;
6;8;3;2;2.233154;-180;2;C;;DC;;;;;;;;
6;8;3;3;2.51709;-144;1;D;;DCD;;;;;;;;
6;8;3;4;2.866943;108;2;C;;DCDC;;;;;;;;
6;8;3;5;1.122437;90;1;B;;DCDCB;;;;;;;;
6;8;3;6;3.666748;-180;1;D;;DCDCBD;;;;;;;;
6;8;3;7;1.217041;72;1;B;DCDCBDB;DCDCBDB;0;1;1;1;1;1;1;1
6;9;3;1;3.166626;-126;1;C;;C;;;;;;;;
6;9;3;2;2.021362;-108;1;D;;CD;;;;;;;;
6;9;3;3;2.834229;90;1;B;;CDB;;;;;;;;
6;9;3;4;2.133179;-126;1;B;;CDBB;;;;;;;;
6;9;3;5;1.910889;-180;1;C;;CDBBC;;;;;;;;
